download_url,hypeness,pct_muted,pog_tag,sad_tag,timestamp,vod_id,funny_tag,game,length,stream_tag,url,highlights_voddatum,liked,done,disliked
https://hypelab-highlight-downloads.s3.amazonaws.com/sizz/733617744/12280.mp4,9.76,0.0,-0.03,0.01,12280,733617744,0.95,Rocket League,98,-0.13,https://www.twitch.tv/videos/733617744?t=3h24m40s,{'highlights_channel': {'twitch_name': 'sizz'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/sizz/733617744/15177.mp4,6.93,0.0,-0.13,0.16,15177,733617744,0.29,Rocket League,80,-0.13,https://www.twitch.tv/videos/733617744?t=4h12m57s,{'highlights_channel': {'twitch_name': 'sizz'}},False,True,True
https://hypelab-highlight-downloads.s3.amazonaws.com/hungrybox/733778047/3890.mp4,5.36,0.0,0.04,0.1,3890,733778047,0.66,Super Smash Bros. Ultimate,77,-0.15,https://www.twitch.tv/videos/733778047?t=1h04m50s,{'highlights_channel': {'twitch_name': 'hungrybox'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/hungrybox/733778047/4640.mp4,6.94,0.0,0.42,-0.16,4640,733778047,0.04,Super Smash Bros. Ultimate,82,-0.15,https://www.twitch.tv/videos/733778047?t=1h17m20s,{'highlights_channel': {'twitch_name': 'hungrybox'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/hungrybox/733778047/5447.mp4,9.3,0.0,0.36,-0.16,5447,733778047,0.24,Super Smash Bros. Ultimate,93,-0.1,https://www.twitch.tv/videos/733778047?t=1h30m47s,{'highlights_channel': {'twitch_name': 'hungrybox'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/hungrybox/733778047/7850.mp4,6.55,0.0,-0.17,-0.1,7850,733778047,0.02,Super Smash Bros. Ultimate,113,-0.11,https://www.twitch.tv/videos/733778047?t=2h10m50s,{'highlights_channel': {'twitch_name': 'hungrybox'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/p4wnyhof/733888858/8202.mp4,6.24,0.0,-0.22,-0.04,8202,733888858,1.17,Just Chatting,75,-0.2,https://www.twitch.tv/videos/733888858?t=2h16m42s,{'highlights_channel': {'twitch_name': 'p4wnyhof'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/p4wnyhof/733888858/8387.mp4,5.95,0.0,1.11,0.35,8387,733888858,0.14,Just Chatting,77,-0.2,https://www.twitch.tv/videos/733888858?t=2h19m47s,{'highlights_channel': {'twitch_name': 'p4wnyhof'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/rachelkay/733897215/391.mp4,5.11,0.0,0.33,0.0,391,733897215,0.11,,78,-0.17,https://www.twitch.tv/videos/733897215?t=0h06m31s,{'highlights_channel': {'twitch_name': 'rachelkay'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/rachelkay/733897215/2961.mp4,5.89,0.0,-0.14,-0.2,2961,733897215,0.53,,77,-0.1,https://www.twitch.tv/videos/733897215?t=0h49m21s,{'highlights_channel': {'twitch_name': 'rachelkay'}},False,True,False
